Term in CSV,Other Term in CSV,Similarity Score
geschutgieterij,geschutgieterijen,94
Industriebouw,Industriegebouw,93
Industriebouw,Industriegebouwen,87
Mengvoederfabriek,Veevoederfabriek,85
Veevoederfabriek,Mengvoederfabriek,85
Veevoederfabriek,veevoederfabrieken,88
Stadsverlichting,Gasverlichting,87
Melkbussenrek,Melkbussen,87
droogschuur,Maisdroogschuur,85
droogschuur,droogschuren,87
hoefslagpalen,hoefs lagpalen,96
Natchemisch onderzoek,Thermisch onderzoek,85
Wet Openbaarheid van Bestuur,Openbaarheid van bestuur,88
galerie,galeries,93
galerie,galerijen,88
galerie,galeien,86
Bosgebouw,Bosbouw,88
goederenloods,goederenloodsen,93
5e eeuw,15e eeuw,93
5e eeuw,6e eeuw,86
5e eeuw,7e eeuw,86
5e eeuw,8e eeuw,86
5e eeuw,9e eeuw,86
perron,perrons,92
Gevelbelichting,Gevelverlichting,90
6e eeuw,16e eeuw,93
6e eeuw,5e eeuw,86
6e eeuw,7e eeuw,86
6e eeuw,8e eeuw,86
6e eeuw,9e eeuw,86
7e eeuw,17e eeuw,93
7e eeuw,5e eeuw,86
7e eeuw,6e eeuw,86
7e eeuw,8e eeuw,86
7e eeuw,9e eeuw,86
kop-hals-rompboerderij,kop-rompboerderij,87
kop-hals-rompboerderij,kop-hals-rompboerderijen,96
Provinciewet,Provinciewapen,85
onderslagmolen,onderslagmolens,97
8e eeuw,18e eeuw,93
8e eeuw,5e eeuw,86
8e eeuw,6e eeuw,86
8e eeuw,7e eeuw,86
8e eeuw,9e eeuw,86
dierenverblijf,dierenverblijven,87
Geschilderd raam,Gebrandschilderd raam,86
Korbeelstellen,Korbeelstel,88
Kachelnis,Kachels,88
herstellingsoord,herstellingsoorden,94
Glaswol,Vlaswol,86
21e eeuw,17e eeuw,88
21e eeuw,16e eeuw,88
21e eeuw,19e eeuw,88
21e eeuw,18e eeuw,88
21e eeuw,14e eeuw,88
21e eeuw,20e eeuw,88
21e eeuw,15e eeuw,88
21e eeuw,12e eeuw,88
21e eeuw,11e eeuw,88
21e eeuw,10e eeuw,88
21e eeuw,13e eeuw,88
11e eeuw,17e eeuw,88
11e eeuw,16e eeuw,88
11e eeuw,19e eeuw,88
11e eeuw,18e eeuw,88
11e eeuw,14e eeuw,88
11e eeuw,15e eeuw,88
11e eeuw,12e eeuw,88
11e eeuw,21e eeuw,88
11e eeuw,10e eeuw,88
11e eeuw,13e eeuw,88
Schijndodenhuis,schijndodenhuisjes,85
lanceerinrichting,lanceerinrichtingen,94
Kruisgewelf,Kruisribgewelf,88
Kruisribgewelf,Kruisgewelf,88
Landschapsbeleving,Landschapsbeleid,88
kolonistenwoning,kolonistenwoningen,94
Windroos,windroos,88
Late middeleeuwen,Laat-middeleeuwen,88
Late middeleeuwen,late middeleeuwen,94
Late middeleeuwen,late middeleeuwen A,89
Late middeleeuwen,late middeleeuwen B,89
Lourdesgrotten,Lourdesgrot,88
revalidatiecentrum,revalidatiecentra,91
aardappelschuur,aardappelschuren,90
Brokaat,Brocaat,86
Brokaat,brokaat,86
9e eeuw,19e eeuw,93
9e eeuw,5e eeuw,86
9e eeuw,6e eeuw,86
9e eeuw,7e eeuw,86
9e eeuw,8e eeuw,86
lettergieterij,lettergieterijen,93
Wapenfabriek,Lampenfabriek,88
Micro-chemische analyse,spectrochemische analyse,85
10e eeuw,17e eeuw,88
10e eeuw,16e eeuw,88
10e eeuw,19e eeuw,88
10e eeuw,18e eeuw,88
10e eeuw,14e eeuw,88
10e eeuw,20e eeuw,88
10e eeuw,15e eeuw,88
10e eeuw,12e eeuw,88
10e eeuw,21e eeuw,88
10e eeuw,11e eeuw,88
10e eeuw,13e eeuw,88
Verrazzo,Terrazzo,88
13e eeuw,17e eeuw,88
13e eeuw,16e eeuw,88
13e eeuw,19e eeuw,88
13e eeuw,18e eeuw,88
13e eeuw,14e eeuw,88
13e eeuw,15e eeuw,88
13e eeuw,12e eeuw,88
13e eeuw,21e eeuw,88
13e eeuw,11e eeuw,88
13e eeuw,10e eeuw,88
Wegenstructuur,Beenstructuur,89
Vennootschap,Genootschap,87
Slingermuur,Slangemuur,86
rijwielstalling,rijwielstallingen,94
Vertegenwoordiging,Volksvertegenwoordiging,88
wagenschuur,wagenschuren,87
Industriegebouw,Industriebouw,93
Industriegebouw,Industriegebouwen,94
keermuur,Weermuur,88
lichtopstand,lichtopstanden,92
Ceramiek,keramiek,88
Diakonie,Diaconie,88
Openbare gebouwen,Openbaar gebouw,88
Zoutloods,houtloods,89
Garenfabriek,kaarsenfabriek,85
Garenfabriek,Sigarenfabriek,85
Garenfabriek,Garnalenfabriek,89
Kunstzijde fabriek,kunstzijdefabrieken,86
Koepelschaal,Kegelschaal,87
Kegelschaal,Koepelschaal,87
Vouwschaal,ouwelschaal,86
Onderscheiding,erfscheiding,85
Vaderlandsche Geschiedenis,Vaderlandse Geschiedenis,96
Opslagplaats,Opslagplaatsen,92
Gebruiksvoorwerp,Gebuiksvoorwerp,97
Gebruiksvoorwerp,Gebuiksvoorwerpen,91
Sigarettenfabriek,Sigarenfabriek,90
Sigarettenfabriek,sigarettenfabrieken,89
Vleeswarenfabriek,Kleiwarenfabriek,85
Wandversiering,Randversiering,93
Houtimitatie,Hout-imitatie,96
Plastic,plastic,86
Vergunning,Vergunningen,91
Stele,Steles,91
Schoenfabriek,schoenenfabriek,86
woonark,woonarken,88
Standveiligheid,Brandveiligheid,87
Lambrizering,Lambrisering,92
Structuurplan,Stuktuurplan,88
ingangsportaal,ingangsportalen,90
mensa,mensae,91
Dijkvak,Dijkval,86
Interneringskamp,(internerings)kamp,88
Interneringskamp,interneringskampen,88
pseudobasiliek,pseudobasilieken,93
weidemolen,weidemolens,95
weidemolen,wedemolens,90
dwarsdeelschuur,dwarsdeelschuren,90
Gordijnschildering,Gordijnschilderingen,95
Baldakijnschildering,Balkakijnschildering,95
Balkakijnschildering,Baldakijnschildering,95
Parochies,Parochie,94
Wegrestaurant,restaurant,87
Tuinier,Tuinieren,88
talud,taluds,91
Dakkap,Dakkapel,86
Huidenlijm,huidenlijm,90
Beenderlijm,beenderlijm,91
Paleogeografie,Paleografie,88
Paleogeografie,Palaeogeografie,97
kamerplant,kamerplanten,91
Binnenafwerking,Buitenafwerking,87
Schildering op doek,Schilderijen op doek,92
Beschilderd tongewelf,Beschilderd gewelf,92
Beschilderd gewelf,Beschilderd tongewelf,92
Beschilderd gewelf,Beschilderde gevel,89
Architectuurbeschildering,Architectuurschildering,96
Beschilderd plafond,Beschilderd lood,86
Buitenafwerking,Binnenafwerking,87
Beschilderd behang,Geschilderd behangsel,87
Beschilderd behang,Geschilderd behang,94
Beschilderd behang,Beschilderd behangsel,92
Beschilderd behang,Beschilderd behangsels,90
Verfonderzoek,Vooronderzoek,85
Verfonderzoek,Veldonderzoek,85
Stoomsteenfabriek,Stoommeelfabriek,85
Impressionisme,expressionisme,86
bijgebouw,bijgebouwen,90
Schildering op pleister,Schildering op papier,86
Beschermingsmaatregelen,Beschermende maatregelen,85
biljartzaal,biljartzalen,87
Bouwindustrie,Zoutindustrie,85
Bouwindustrie,Houtindustrie,85
Bouwindustrie,Touwindustrie,92
Bouwindustrie,Botindustrie,88
Zoutonderzoek,Botonderzoek,88
Zoutonderzoek,Bouwonderzoek,85
Zoutonderzoek,Houtonderzoek,92
Zoutonderzoek,oud onderzoek,85
machinegebouw,machinegebouwen,93
windmolentje,windmolen,86
Schildering op papier,Schildering op pleister,86
dierenbegraafplaats,dierenbegraafplaatsen,95
dierenbegraafplaats,erebegraafplaatsen,86
Wapenrusting,Wapenuitrusting,89
Buitenschilderwerk,Binnenschilderwerk,89
Wapenschildering,Wandbeschildering,85
caponniëre,caponnières,86
olieverfschilderingen,Olieverfschilderijen,88
Regentessenkamer,Regentenkamer,90
Loofgang,Loopgang,88
Klimaatverandering,Klimaatveranderingen,95
Kerkschot,Kerkschat,89
dierenpark,dierenparken,91
Cassettenplafond,Cassetteplafond,97
Byzantijnse bouwkunst,Byzantijnse kunst,89
Byzantijnse bouwkunst,Latijnse bouwkunst,87
Beschilderde gevel,Beschilderd gewelf,89
Openluchtbad,openluchtbaden,85
Postgebouw,Poortgebouw,86
Klimatologische aspecten,Biologische aspecten,86
Binnenschilderwerk,Buitenschilderwerk,89
Beschilderd lood,Beschilderd plafond,86
Restauratiebestek,Restauratie-ethiek,86
Goudleerbehang,Goudleerbehangsel,90
Plaatwerker,Plaatwerkerij,92
Brocaat,Brokaat,86
etagewoning,etagewoningen,92
Veelluik,Veegluik,88
Perspex,perspex,86
Amerikanisme,Americanisme,92
Zaadzolder,Zandzolder,90
achterglasschildering,Achterglasschilderij,88
achterglasschildering,Achterglasschilderijen,88
Louis XV,Louis XIV,94
Louis XV,Louis XVI,94
Louis XIV,Louis XV,94
Louis XIV,Louis XVI,89
classicistisch,Neoclassicistisch,90
Louis XVI,Louis XV,94
Louis XVI,Louis XIV,89
genrevoorstelling,genrevoorstellingen,94
de moeder met het dode kind,de moeder met het levende kind,88
de moeder met het levende kind,de moeder met het dode kind,88
korintisch,Corintisch,90
Washuis,Walhuis,86
Kaarsverlichting,Gasverlichting,87
Arkeltorentje,Arkeltoren,87
baarhuisje,baarhuisjes,95
Bakhuisje,Bakhuis,88
Klokkentorentje,Klokkentoren,89
Klokkentorentje,Klokketorentje,97
Klokketorentje,Klokkentoren,85
Klokketorentje,Klokkentorentje,97
Molenaarshuisje,molenaarshuis,86
poortje,poorten,86
poortje,poortjes,93
sacramentshuisje,sacramentshuizen,88
sacramentshuisje,sacramentshuis,93
Speelhuisje,Speelhuis,90
hooischuur,hooischuren,86
bakkerswinkel,bakkerswinkels,96
Cassetteplafond,Cassettenplafond,97
Gordijnschilderingen,Gordijnschildering,95
Electriciteitscentrale,elektriciteitscentrale,91
Electriciteitscentrale,elektriciteitscentrales,89
Koorsluiting,Koorafsluiting,92
Merken,Meren,91
paardestal,Paardenstal,86
paardestal,paardestallen,87
Rouwborden,Rouwbord,89
Rouwborden,rouwborden,90
Scheuren,Schuren,93
Scheuren,Scheur,86
Schimmels,Schimmel,94
Schoorstenen,schoorsteen,87
schuifdeuren,schuif-hefdeuren,86
schuifdeuren,schipdeuren,87
Schuiframen,Schuifraam,86
Schuiframen,schuiframen,91
Slangemuur,slangenmuur,86
Slangemuur,Slingermuur,86
Stallen,Stralen,86
Collectezak,Collectebak,91
Collectezak,collectezak,91
Collectebak,Collectezak,91
Wandtapijten,Wandtapijt,91
wandtegels,wandtegel,95
Glazuur,glazuur,86
Luchtbescherming,Rechtsbescherming,85
Spinnenkopmolen,spinnekopmolen,90
Voorschot,koorschot,89
Stoommeelfabriek,Stoomsteenfabriek,85
Sluiswachterhuisje,sluiswachtershuisjes,89
Waterwagen,Waterwegen,90
Schaalconstructie,Staalconstructie,91
Gietwerk,Rietwerk,88
Kanteel,Kasteel,86
Vestingwerken,Vestingwerk,92
condtructie,constructies,87
speeltuin,speeltuinen,90
Vergelijkingscollectie,Vergelijkingscollecties,98
Zoogdier,Zoogdieren,89
Hemelvaartgat,Hemelvaart,87
gymnastieklokaal,gymnastiekzaal,87
Melkkelder,melkkelders,86
jachthaven,jachthavens,95
Tbc-huisje,Tbc-huisjes,95
schoolgebouw,schoolgebouwen,92
orangerie,oranjerie,89
vijzelmolen,vijzelmolens,96
Verband,Veranda,86
Aardkundige waarde,Aardkundige waarden,97
Tuigkamer,Tuinkamer,89
Bedrijfsvloer,Bedrijfsleer,88
Veegluik,Veelluik,88
ziekenbarak,ziekenbarakken,88
Meubelen,meubelen,88
Afslagen,slagen,86
Ambachtsgilden,Ambachtslieden,86
Amfitheaters,Amfitheater,96
Angelsaksen,Agelsaksen,95
Astronomie,Gastronomie,86
Badkamers,Badkamer,94
Bakinrichtingen,afdrukinrichtingen,85
Bakinrichtingen,badinrichtingen,87
Bedevaarten,Bedevaart,90
Beelden,beelden,86
Beenringen,Beperkingen,86
Beenringen,steenringen,86
Begraving,Begrazing,89
Begraving,Begravingen,90
bekers,beker,91
Belastingen,Belasting,90
Belastingen,Belastingwet,87
Belastingen,Belastingwezen,88
Belastingen,Beplantingen,87
Belastingwezen,Belastingwet,85
Belastingwezen,Belastingen,88
Bereiding,Beweiding,89
Bestemmingsplannen,Bestemmingsplan,91
Bestormingsmiddelen,Bestrijdingsmiddelen,87
bijgebouwen,bijgebouw,90
Biogeografie,geografie,86
Biogeografie,Biografie,86
Bodemkaarten,Bodemkartering,85
Bodemkaarten,Bodemkaart,91
bogen,borgen,91
bogen,boegen,91
bogen,ogen,89
Boomkisten,boomkisten,90
borden,boren,91
borden,borduren,86
borden,boden,91
borden,boorden,92
Botdeterminatie,Houtdeterminatie,90
bouwconstructies,Bouwconstructie,90
bouwconstructies,constructies,86
bouwconstructies,Houtconstructies,88
bouwoffers,bouwoffer,95
Bouwornamentiek,Bouwornament,89
Branden,branden,86
Branden,randen,92
brillen,billen,92
brinken,brikken,86
Bronsbewerking,Grondbewerking,86
Burchten,burchten,88
cartografie,Kartografie,91
Cisternen,Cisterne,94
cultusplaatsen,cultusplaats,92
daken,aken,89
Dans,Das,86
deuren,ebdeuren,86
Dierfysiologie,Diersociologie,86
Dierfysiologie,Dierenfysiologie,93
Diersociologie,Dierfysiologie,86
dodenhuisjes,douanenhuisjes,85
Doorvallend licht microscopie,Opvallend licht microscopie,89
Eenden,enden,91
Epidemieen,Epidemie,89
Evolutie,volute,86
Exploratie,Exploitatie,86
fabrieken,gasfabrieken,86
fabrieken,ijsfabrieken,86
fabrieken,lakfabrieken,86
fabrieken,wolfabrieken,86
Families,Familie,93
funderingen,fundering,90
funderingen,plunderingen,87
funderingen,paalfunderingen,85
Fytoarcheologie,archeologie,85
Fytoarcheologie,Etnoarcheologie,87
Fluiten,fluiten,86
Gebitten,Geiten,86
Gebitten,bitten,86
Gebouwonderdelen,bouwonderdelen,93
geesten,feesten,86
geesten,eesten,92
geesten,leesten,86
Geneesmiddelen,Genotsmiddelen,86
Germaans,Germaan,93
Glasversiering,Glasverwerking,86
Glazen,Glazuren,86
Glazuren,Glazen,86
Glazuren,glazuren,88
gordels,gordel,92
Graanopslagplaatsen,Graanopslagplaats,94
grachten,drachten,88
Grafkruisen,Grafkisten,86
grafmonumenten,grafmonument,92
Grafschilderingen,Grafschildering,94
Grafschilderingen,Grotschilderingen,88
grafvelden,grafveld,89
grafzerken,grafperken,90
grensstenen,grenssteen,95
Groente,Groenten,93
Grondbewerking,Bronsbewerking,86
Grondwerken,Grondwerkers,87
Grotschilderingen,Grafschilderingen,88
Grotschilderingen,Barokschilderingen,86
haarden,Paarden,86
haarden,Kaarden,86
haarden,baarden,86
haarden,paarden,86
haarden,gaarden,86
haardplaatsen,haardplaten,92
handelsroutes,Handelsroute,88
Hangers,hangers,86
Harnasonderdelen,lansonderdelen,87
Heiligdommen,Heiligdom,86
Hijswerktuigen,Hijswerktuig,92
Historische hulpwetenschappen,Historische taalwetenschappen,90
Historische kaarten,Historische kern,86
Historische kaarten,Historische waarde,86
Historische kaarten,Historische plaatsen,87
Historische taalwetenschappen,Historische hulpwetenschappen,90
Hoge middeleeuwen,Voege middeleeuwen,91
Hoge middeleeuwen,Volle middeleeuwen,86
Hoge middeleeuwen,vroege middeleeuwen,89
Ikonen,konen,91
Industriegebouwen,Industriebouw,87
Industriegebouwen,Industriegebouw,94
informatiesystemen,informatiesysteem,91
Jupiterzuilen,Jupiterzuil,92
Kaarsen,Kaarden,86
Kaarsen,laarsen,86
Kaarsenhouders,kaarshouders,85
Kachels,Kachelnis,88
Kalenderfeesten,Kalenderfeest,93
Kampementen,Kampement,90
kannen,kanonnen,86
Karossen,Kassen,86
karren,karen,91
kazernes,kazerne,93
Klassen,Kassen,92
Klassen,lassen,92
klokken,klikken,86
klokken,blokken,86
kloosters,Kloosters,89
Knaagdieren,Knaagdier,90
Koetsen,Poetsen,86
Koorbanken,Koorbank,89
Koorbanken,koorbanken,90
kralen,koralen,92
krammen,kammen,92
krammen,rammen,92
Kruisen,Kruiden,86
Kunststijlen,kunststijlen,92
Landbouwwerktuigen,Landbouwwerktuig,94
landweren,landwegen,89
Late ijzertijd,late ijzertijd,93
Legenden,Legende,93
leprozenhuizen,leprozenhuis,85
luiken,luien,91
maalstenen,maalstoelen,86
manden,manen,91
Mandwerk,Handwerk,88
Matriarchaat,Patriarchaat,92
Mausolea,mausolea,88
Medische instrumenten,Optische instrumenten,86
Meelproducten,Melkproducten,92
Melkproducten,Meelproducten,92
Mesolithicum,Neolithicum,87
Mesolithicum,mesolithicum,92
Mesolithicum,neolithicum,87
Meteorologie,Metrologie,91
Microscopen,Microscopie,91
moestuinen,moestuin,89
Molenstenen,molensteen,86
Molenstenen,molenstenen,91
Mossen,Mosselen,86
muurtorens,muurtoren,95
muurtorens,vuurtorens,90
Naalden,naalden,86
Nederzettingsvormen,Nederzettingsvorm,94
netten,cunetten,86
netten,lunetten,86
Netwerken,Netwerk,88
Odontologie,Ontologie,90
Olielampen,olielampen,90
Ommuringen,Ommuring,89
Ongewervelde dieren,Gewervelde dieren,89
Ontologie,Odontologie,90
Ontologie,Ontologieën,90
Oorlogen,Oorlog,86
Optische instrumenten,Medische instrumenten,86
orgels,orgelkas,86
orgels,worgels,92
orgels,orgel,91
Overstromingen,Overstroming,92
Paarden,haarden,86
Paarden,Kaarden,86
Paarden,baarden,86
Paarden,paarden,86
Paarden,gaarden,86
pakhuizen,bakhuizen,89
Paleolithicum,paleolithicum,92
Paleopathologie,Paleontologie,86
Paleopathologie,Paleoethnologie,87
Palissades,Palissade,95
Palissades,palissades,90
palynologie,planologie,86
pannen,spannen,92
Pannenbakkerijen,Pannenbakkerij,93
Pansfluiten,panfluiten,86
Parasols,Parasol,93
Patriarchaat,Matriarchaat,92
Pelgrimstekens,Pelgrimsteken,96
Pelgrimstekens,pelgrimsteken,89
Pelgrimstochten,Pelgrimstocht,93
Penningen,penningen,89
Perkament,perkament,89
Plafonds,Plafond,93
Plantenecologie,Plantensociologie,88
Plattelandssamenlevingen,Plattelandssamenleving,96
Pleisterplaatsen,Pleisterplaats,93
Poorten,poorten,86
pottenbakkerijen,pottenbakkerij,93
Pottenbakkersovens,Pottenbakkersoven,97
Provisiekamers,Provisiekast,85
Rammelaars,rammelaars,90
Recepten,Receptie,88
Relieken,Relikten,88
Rietwerk,Gietwerk,88
Rosmolens,Rosmolen,94
Rosmolens,rosmolens,89
Rundveehouderij,Rundveehouderijen,94
schansen,schanzen,88
Scheepsrampen,Scheepsgraven,85
Scheepsrampen,Scheepstermen,85
schepen,schenen,86
schepen,scheren,86
schepen,scheien,86
schepen,schoepen,93
schepen,scheden,86
schepen,scheppen,93
Schilderijen,Schilderij,91
Schilderijen,Schilderen,91
scholen,schalen,86
scholen,schoren,86
scholen,schoten,86
Schoppen,schoppen,88
Schrijfgerei,schrijfgereien,85
schuilplaatsen,schuilplaats,92
Schuttersgilden,Schuttersgilde,97
Seksualiteit,Sexualiteit,87
sikkels,bikkels,86
Slijpen,slijpen,86
Speerslingers,Steenslingers,85
spiekers,spieker,93
spiekers,spijkers,88
sporen,Oosporen,86
stadspoorten,stadspoort,91
steenbakkerijen,steenbakkerij,93
steenbakkerijen,steenbakken,85
steenbakkerijen,tegelbakkerijen,87
Steenbouw,Stedebouw,89
Steenbouw,Stedenbouw,95
Steengroeven,Steengroeve,96
steigers,steiger,93
Stoelen,stoelen,86
Stranden,randen,86
Stranden,tanden,86
Streekplannen,Streekplan,87
Strijdwagens,Strijdwagen,96
Struiken,Struik,86
tempels,tempel,92
tempels,stempels,93
Tolwegen,Tolwezen,88
Transportmiddelen,transportmiddelen,94
trappen,trippen,86
tuinornamenten,Tuinornament,85
uitkijktorens,uitkijktoren,96
Uurwerken,uurwerken,89
Vakbonden,Vakbond,88
Veilingen,Veiling,88
Verdedigingslinies,Verdedigingslinie,97
Verdedigingstorens,Verdedigingstoren,97
verdedigingswerken,verdedigingswerk,94
verdedigingswerken,Verdedigings-werken,92
Verpleegkunde,Verpleegkundigen,90
Vissersschepen,visserschepen,89
vloeren,vlerken,86
Vlootstations,bootstations,88
Vluchtbergen,Vluchtberg,91
Vogels,Vogel,91
Vooronderzoek,Verfonderzoek,85
voorraadpotten,voorraadvatten,86
Vormschotels,vormschotel,87
vrijwilligers,vrijwilligerswerk,87
Vuursteenbewerking,Natuursteenbewerking,89
wachthuizen,slachthuizen,87
wachthuizen,wachtsluizen,87
wachthuizen,achterhuizen,87
wachthuizen,wachtershuizen,88
wachtposten,wachtpost,90
Wagengraven,Wapengraven,91
wallen,walen,91
Wapengraven,Wagengraven,91
Wastafels,Wastafeltjes,86
waterbekkens,waterbakken,87
waterbekkens,wijwaterbekken,85
waterkeringen,waterkering,92
Waterpompen,Waterpomp,90
Waterpompen,Waterlopen,86
Waterwegen,Waterwagen,90
Waterwegen,waterwegen,90
wegen,wiegen,91
werven,erven,91
werven,weven,91
Wetlands,Wetland,93
Wijkplaatsen,Wijkplaats,91
Wijnbouw,Mijnbouw,88
winkels,Winkels,86
winkels,inkels,92
woningen,koningen,88
Huisplattegronden,Huisplattegrond,94
afvalkuilen,afvalkuil,90
afvalkuilen,paalkuilen,86
Breeuwtechnieken,Bouwtechnieken,87
Mystiek,Mistiek,86
Muntschatten,Munrschatten,92
Muntschatten,Kunstschatten,88
Scheepsgraven,Scheepsrampen,85
constructies,Dakconstructie,85
constructies,Kapconstructies,89
constructies,condtructie,87
constructies,bouwconstructies,86
constructies,Houtconstructies,86
constructies,Dakconstructies,89
constructies,Reconstructies,92
constructies,Kapconstructie,85
constructies,wolfconstructies,86
waterschepen,waterschermen,88
waterschepen,achterschepen,88
Maritime musea,Maritieme musea,97
Tabakspijpen,Tabakspijpenoven,86
Leerbewerking,Beenbewerking,85
Leerbewerking,lederbewerking,89
Houtdeterminatie,Botdeterminatie,90
Scheepsuitrustingen,scheepsuitrusting,89
Rederijen,Rederij,88
Verzekeringen,Verzekering,92
Vrachtschepen,achterschepen,85
Scheepstermen,Scheepsrampen,85
punters,puntjes,86
zegelstempels,zegelstempel,96
Culturele antropologie,Culturele planologie,86
Maritieme musea,Maritime musea,97
Metingen,Meting,86
Metingen,betingen,88
Ontdekkingsreizen,Ontdekkingsreis,88
stichtingen,stichting,90
Paalwoningen,Paalwoning,91
Huishoudens,Huishouden,95
Logistiek,Logistieken,90
zeilen,razeilen,86
Grafkisten,Grafkruisen,86
Beschavingen,Beschrijvingen,85
Beschavingen,Beschaving,91
scheepshellingen,scheepshelling,93
scheepshellingen,sleephellingen,87
Materialen,materialen,90
Vestingen,Verstoringen,86
Vestingen,vestingen,89
Vereenigde oost-indische compagnie,Verenigde Oost-Indische Compagnie,90
Vereenigde oost-indische compagnie,Verenigde oostindische compagnie,97
Registraties,Registratie,96
dorpen,esdorpen,86
Duikers,duikers,86
Theoretische archeologie,Thematische archeologie,89
Vergravingen,Begravingen,87
Versterkingen,Verstoringen,88
Versterkingen,Versieringen,88
Profielen,Profiel,88
Beschrijvingen,Beschavingen,85
Beschrijvingen,Toeschrijvingen,90
Instrumenten,Instrument,91
Gemeentewapens,Gemeentewapen,96
Verzamelingen,Verzamelen,87
Verzamelingen,Verzameling,92
werkplaatsen,werkplaats,91
werkplaatsen,lijnwerkplaatsen,86
Impregneren,Impregnering,87
Pleistoceen,Pleisteren,86
Edelmetalen,Edele metalen,92
Vlaggen,Plaggen,86
Vlaggen,vlaggen,86
Opslagplaatsen,Opslagplaats,92
Merktekens,Merkteken,95
Duiktechnieken,Druktechniek,85
Identificatie,gentrificatie,85
Stadhouders,Stadhouder,95
Bronsgieters,Bronsgieter,96
Bronsgieters,Bronsgieterij,88
vijzels,vijzel,92
vijzels,vijzelas,93
Beroepen,Beroep,86
Kulturen,Culturen,88
Decoraties,Decoratie,95
Beschaving,Beschavingen,91
munitie,munities,93
Anorganisch materiaal,anorganische materialen,86
Anorganisch materiaal,organische materialen,86
Determinatie,Determinaties,96
aardwetenschappen,Landwetenschappen,88
Plantenfysiologie,Plantensociologie,88
Plantenfysiologie,Plantfysiologie,94
Bomenteelt,Bloementeelt,91
Data processing,Dataprocessing,97
Mer,Merk,86
Botonderzoek,Vochtonderzoek,85
Botonderzoek,Zoutonderzoek,88
Botonderzoek,Bouwonderzoek,88
Botonderzoek,Houtonderzoek,88
Vervalsingen,Vervalsing,91
Beenbewerking,Steenbewerking,89
Beenbewerking,Leerbewerking,85
Milieueffectrapportages,Milieueffectrapportage,98
stempels,tempel,86
stempels,tempels,93
Beleidsplannen,Beleidsplan,88
Etnoarcheologie,archeologie,85
Etnoarcheologie,Fytoarcheologie,87
Etnoarcheologie,Ethnoarcheologie,97
Meren,Merken,91
Meren,Moeren,91
gewichten,vulgewichten,86
universiteiten,Universiteit,85
Subsidies,Subsidie,94
Broches,Brochs,92
messen,essen,91
Plaatselijke politiek,Plaatselijke politie,98
Boekbanden,Boekband,89
Boekbanden,Boekbinden,90
Boekbanden,boekbanden,90
Verstoringen,Vestingen,86
Verstoringen,Versterkingen,88
verenigingen,vereniging,91
Steles,Stele,91
Skeletresten,Skeletten,86
Klimaatveranderingen,Klimaatverandering,95
Kadasters,Kadaster,94
terreinen,terrepleinen,86
terreinen,treinen,88
Ethnoarcheologie,Etnoarcheologie,97
Paleontologie,Paleopathologie,86
Paleontologie,Paleoantropologie,87
Paleontologie,Paleoecologie,85
Paleontologie,Paleoethnologie,86
Paleontologie,Paleozoölogie,85
Nederlands openluchtmuseum (pica),Nederlands Openluchtmuseum,85
Volkenkunde,Volkskunde,86
Frankische tijd,Franse tijd,85
Sarcofagen,sarcofagen,90
Dagelijks leven,Dagel?ks leven,90
Themaparken,heemparken,86
Themaparken,Themapark,90
rijengrafvelden,rijengrafveld,93
celtic fields,Celtic field,88
Jagers-verzamelaars,Jager-verzamelaars,97
grafkelders,grafkelder,95
kringgreppels,Ringgreppels,88
kringgreppels,kringgreppel,96
Indians of north america,Indians of south america,92
Inundaties,Inundatie,95
Paleoantropologie,Paleontologie,87
Vlaardingen-cultuur,Vlaardingencultuur,97
Skythen,Scythen,86
Druiden,Kruiden,86
Zoogdieren,Zoogdier,89
Zoogdieren,Zeezoogdieren,87
Middeleuwen,Mideeleeuwen,87
Middeleuwen,Middeeleeuwen,92
Botmateriaal,Bouwmateriaal,88
Runen,Rune,89
mottekastelen,mottekasteel,88
Ontgrondingen,Ontgronding,92
Thematische archeologie,Theoretische archeologie,89
crematiegraven,crematiegraf,85
Veldarcheologie,archeologie,85
Reglementen,Reglement,90
Weefgetouwen,eergetouwen,87
Pfyner cultuur,Pfynerkultuur,89
Legerplaatsen,Legerplaats,92
Catacomben,Catacombe,95
termen,thermen,92
Valsificaties,Falsificaties,92
spectrometrie,spectrometry,88
Opvallend licht microscopie,Doorvallend licht microscopie,89
Chemisch reinigen,Chemische reiniging,89
Methoden en technieken van de biologie,Methoden en technieken van de archeologie,91
Spinnen (textiel),Spinnen (textiel,97
Spatial data analysis,Spatial analysis,86
Legeringen,zegelringen,86
Legeringen,wegeringen,90
Kunstvoorwerpen,Kunstvoorwerp,93
Paleoecologie,Paleontologie,85
Paleoecologie,Palaeoecologie,96
Paleoecologie,Paleoethnologie,86
Paleoecologie,Paleozoölogie,85
Paleoecologie,Paleoserologie,89
Paleoecologie,Paleo-ecologie,96
Geo-elektrisch onderzoek,Geo-elektrisch-onderzoek,96
Tacheometrie,archaeometrie,88
Poststructuralisme,structuralisme,88
Semiologie,Seismologie,86
satellieten,satelliet,90
Falsificaties,Valsificaties,92
Logistieken,Logistiek,90
aardwerken,aardwerk,89
Pré-columbiaans,Precolumbiaans,90
Databanken,Databank,89
Schrijven,Schrijn,88
Rivierafzettingen,Oeverafzettingen,85
Projectie,Propectie,89
