term_in_csv,other_term,similarity_score
Snelwegen,Snelweg,88
Monumentenbeleid,Monumentenbeleidsplan,86
herinrichting,inrichting,87
Natuurbeheer,natuurbeheer,92
archeologische monumentenzorg,Archeologische monumentenkaart,85
archeologische monumentenzorg,Archeologische monumenten,89
archeologische monumentenzorg,archeologisch monument,86
archeologie,Fytoarcheologie,85
archeologie,archeozoologie,88
archeologie,Etnoarcheologie,85
archeologie,Veldarcheologie,85
archeologie,geoarcheologie,88
Rivier,Rivieren,86
dijkversterking,dijkverbetering,87
Waterbeheersing,Waterbeheer,85
inventarisatie,Inventarisaties,90
Cultuurhistorische waarde,Cultuurhistorische waardenkaart,89
Cultuurhistorische waarde,cultuurhistorische waarden,94
Cultuurhistorische waarde,Cultuurhistorische analyse,86
Stad,Stand,89
architectuur,architect,86
architectuur,tuinarchitectuur,86
architectuur,Leemarchitectuur,86
architectuur,Glasarchitectuur,86
cultuur,sculptuur,88
ruimtelijke ontwikkeling,Stedelijke ontwikkeling,85
Uiterwaard,Uiterwaarden,91
Stedelijke ontwikkeling,ruimtelijke ontwikkeling,85
Stedelijke ontwikkeling,prestedelijke ontwikkeling,90
Stedelijke ontwikkeling,Vroeg stedelijke ontwikkeling,85
planologie,palynologie,86
cultuurhistorie,Cultuuhistorie,90
Architectuurprijs,Architectuurgids,85
Stadsrand,Stadsbrand,95
Nationaal landschap,Nationaal landschapspark,88
Nationaal landschap,Nationale landschappen,88
Landinrichting,Landinrichtingswet,88
Landinrichting,Landrichting,92
architect,architectuur,86
architect,Hofarchitect,86
architect,architecten,90
Bibliografie,Biografie,86
Bibliografie,Bibliografieën,92
Veenkolonie,Veenkoloniën,87
Belasting,Belastingwet,86
Belasting,Belastingen,90
Kroniek,Kronieken,88
mandenmakerij,mandenmakerijen,93
Gilde,Gilden,91
Restauratiefonds,Restauraties,86
geschiedenis,Kerkgeschiedenis,86
geschiedenis,Zeegeschiedenis,89
geschiedenis,Bouwgeschiedenis,86
geschiedenis,bosgeschiedenis,89
Terrazzo,Verrazzo,88
Baksteen,baksteen,88
Veiling,Veilingen,88
Locale geschiedenis,sociale geschiedenis,92
Locale geschiedenis,Lokale geschiedenis,95
Kunsthistorisch onderzoek,Bouwhistorisch onderzoek,86
Kunsthistorisch onderzoek,cultuurhistorisch onderzoek,85
Kunsthistorisch onderzoek,Kleurhistorisch onderzoek,88
Kunsthistorisch onderzoek,tuinhistorisch onderzoek,90
Rijnstreek,Mijnstreek,90
Waterschap,Waterschade,86
Waterschap,Waterschappen,87
Vestingwerk,Vestingwerken,92
Monumentenwacht,Monumentenwet,86
Monumentenwacht,Monumentenrecht,87
Leisteen,Liseen,86
Leisteen,leisteen,88
Legermuseum,Leesmuseum,86
Financien,Financiering,86
Ministerie van WVC,Ministerie van VROM,86
Ministerie van WVC,Ministerie van VWS,89
Ministerie van WVC,Ministerie van LNV,89
Hoogheemraadschap,Heemraadschap,87
Hoogheemraadschap,Hoogheemraadschappen,92
Oost-Nederland,Oost-Gelderland,90
Steen,Steden,91
Graafschap,Graafschappen,87
Gemeentearchief,Gemeentearchitect,88
Opleiding,Opleidingen,90
Waterleiding,Waterleidingen,92
Waterleiding,Waterscheiding,85
Bouwhistorisch onderzoek,Kunsthistorisch onderzoek,86
Bouwhistorisch onderzoek,Historisch onderzoek,86
Bouwhistorisch onderzoek,Kleurhistorisch onderzoek,86
Bouwhistorisch onderzoek,tuinhistorisch onderzoek,88
Kunsttijdschrift,kunsttijdschriften,88
Kerkgeschiedenis,geschiedenis,86
laboratorium,oratorium,86
Engelen,Angelen,86
klokkestoel,klokkenstoelen,88
klokkestoel,klokkestoelen,92
Bouwtechniek,Bouwtechnieken,92
Informatie,Informatica,86
Informatie,informatie),86
Begrafenis,Begrafenisbos,87
tuin,tin,86
tuinarchitectuur,architectuur,86
tuinarchitectuur,tuinarchitect,90
Stedebouwkundige,Stedebouwkunde,93
tuinarchitect,tuinarchitectuur,90
landschapsarchitecten,landschapsarchitectuur,88
landschapsarchitecten,Landschapsarchitect,90
binnenhuisarchitecten,binnenhuisarchitectuur,88
Ontwerp,Ontwerper,88
Ontwerp,Ontwerpen,88
Gewapend beton,Bewapend beton,93
sociale geschiedenis,Locale geschiedenis,92
sociale geschiedenis,Lokale geschiedenis,87
sociale geschiedenis,Koloniale geschiedenis,86
watertoren,waterborden,86
watertoren,watertorens,95
Toren,Torens,91
landschapsbeheer,Landschapbeheer,90
Kunst,Kust,89
Vaderlandse Geschiedenis,Vaderlandsche Geschiedenis,96
Penning,Penningen,88
Penning,penning,86
Kartografie,Kartograaf,86
Kartografie,cartografie,91
Monumentenjaar,Monumentenraad,86
Gasthuis,Glashuis,88
geografie,Biogeografie,86
geografie,Zoögeografie,86
ministerie,ministeries,95
Houtconservering,Fotoconservering,88
Textiel,textiel,86
Interieur,Interieurs,95
Interieur,Interieuren,90
inrichting,herinrichting,87
Subsidie,Subsidies,94
Bouwmateriaal,Bouwmaterialen,89
Bouwmateriaal,Botmateriaal,88
Bouwconstructie,Houtconstructie,87
Bouwconstructie,Brugconstructie,87
Bouwconstructie,Boogconstructie,87
Bouwconstructie,Bouwinstructie,90
Bouwconstructie,bouwconstructies,90
Schilderij,Schilder,89
Schilderij,Schilderijen,91
begraafplaats,begraafplaatsen,93
Wapen,apen,89
Molenaar,Molenwaard,89
Middeleeuwen,Middeleuwen,96
Middeleeuwen,Mideeleeuwen,92
Middeleeuwen,Middeeleeuwen,96
Middeleeuwen,Middeleeuws,87
Middeleeuwen,middeleeuwen,92
Oorlog,Oorlogen,86
Bouwfysisch onderzoek,Geofysisch onderzoek,88
Steenhouwer,Steenhouwerij,92
Steenhouwer,Steenhouwwerk,92
Steenhouwer,Steenhouwers,96
Glas,Gas,86
Glas,Glans,89
Glas in lood,Glas in loodraam,86
Volksgebruik,Volksgebruiken,92
Volkscultuur,Volskcultuur,92
Kerkelijke kunst,Kerkelijke bouwkunst,89
Keramiek,Ceramiek,88
Keramiek,keramiek,88
Oost-Gelderland,Oost-Nederland,90
Waterstaatswerk,Waterstaatskerk,93
Waterstaatswerk,Waterstaatskerken,88
opgraving,opgravingen,90
ophaalbrug,ophaalbruggen,87
Domkerk,Domkerken,88
vesting,vestingen,88
Zegel,Zegels,91
stadsgeschiedenis,onstaansgeschiedenis,86
Natuurbescherming,Cultuurbescherming,86
Mortel,Mortels,92
landschapsarchitectuur,landschapsarchitecten,88
landschapsarchitectuur,Landschapsarchitect,88
Groenvoorziening,Groenvoorzieningen,94
Plaatsnaam,Plaatsnamen,86
oranjerie,orangerie,89
Wetenschappelijk onderzoek,Natuurwetenschappelijk onderzoek,86
Rivierlandschap,Rivierdijklandschap,88
Rivierlandschap,Rivierkleilandschap,88
Rivierlandschap,rivierlandschappen,85
Klei,Kei,86
Uurwerk,Uurwerken,88
Linoleum,linoleum,88
Kunststof,Kunststoffen,86
Kunststof,kunststof,89
Schilder,Schilderij,89
Schilder,Schilders,94
Schilder,Schilderen,89
Gips,Gis,86
Gips,Gps,86
Klei-industrie,Kledingindustrie,87
Burcht,Burchten,86
Kadaster,Kadasters,94
Concertgebouw,concertgebouwen,86
Volkskunde,Volkenkunde,86
Milieueffectrapportage,Milieueffectrapportages,98
Carillon,Carillons,94
gereedschap,Bouwgereedschap,85
gereedschap,Tuingereedschap,85
gereedschap,Handgereedschap,85
gereedschap,gereedschappen,88
gereedschap,hulpgereedschap,85
bestrating,bestratingen,91
stolpboerderij,stelpboerderijen,87
stolpboerderij,stolpboerderijen,93
Constructie,Constructiefout,85
Constructie,Constructivisme,85
Constructie,constructies,87
Constructie,Constructieleer,85
Jaarboek,Jaarboeken,89
Zeegeschiedenis,geschiedenis,89
Zeegeschiedenis,Levensgeschiedenis,85
station,stadion,86
station,stations,93
kabinetorgel,kabinet-orgel,96
Kerkorgels,Kerkorgel,95
Landschapsparken,Landschapsplan,87
Landschapsparken,Landschapsplannen,85
Landschapsparken,Landschapspark,93
Landschapsstijl,landschapsstijl,93
Overstroming,Overstromingen,92
pakhuis,Bakhuis,86
pakhuis,Dakhuis,86
Gevelteken,Geveltopteken,87
Gevelteken,Geveltekens,95
Gevelteken,Gevelsteen,90
Havezate,Havezathe,94
Romaanse bouwkunst,Romaanse beeldhouwkunst,88
Romaanse bouwkunst,Romaanse kunst,88
Romaanse bouwkunst,Romeinse bouwkunst,89
Romaanse bouwkunst,Neoromaanse bouwkunst,87
coupure,coupuren,93
metrostation,metrostations,96
Stadhuis,Stadshuis,94
stadsvilla,stadsvilla's,91
Beschermd gezicht,Beschermd dorpsgezicht,87
Beschermd gezicht,Beschermd stadsgezicht,87
Stadsgezicht,stadsgezichten,85
Wereldtentoonstelling,wereldtentoonstellingen,91
Tentoonstelling,Tentoonstellingen,94
Monumentenwet,Monumentenwacht,86
Monumentenwet,Monumentenrecht,86
gewelf,gewelfd,92
Amsterdamse School,Amsterdamse school,94
straatnaam,straatnamen,86
Dertiende eeuw,Zestiende eeuw,86
Klooster,Kloosters,94
Reconstructie,constructies,88
Reconstructie,Reconstructies,96
Verwering,Verering,94
Verwering,Vererving,89
Verwering,Verwerking,95
Herberg,Hunerberg,88
bierbrouwerij,bierbrouwerijen,93
restaurant,Wegrestaurant,87
restaurant,restaurants,95
Schoorsteen,Schoorsteenstuk,85
Schoorsteen,Schoorsteenpijp,85
Schoorsteen,Schoorstenen,96
Schoorsteen,schoorsteen,91
Kartering,Karteringen,90
Bakhuis,pakhuis,86
Bakhuis,Dakhuis,86
Bakhuis,Bakhuisje,88
bakkerij,bakkerijen,89
Dakconstructie,Draagconstructie,87
Dakconstructie,constructies,85
Dakconstructie,Dakconstructies,97
Dakconstructie,Draaiconstructie,87
Dakconstructie,Balkconstructie,90
Dakconstructie,Kapconstructie,86
Venster,Vensters,93
maaswerk,maalwerk,88
Zuivelfabriek,Zilverfabriek,85
Zuivelfabriek,zuivelfabrieken,86
boterfabriek,Mosterdfabriek,85
boterfabriek,boterfabrieken,92
Waterweg,Waterwegen,89
Waterweg,Waterwet,88
wierookvat,wierookvaten,91
slot,sloot,89
Eiland,Eland,91
verdedigingswerk,Verdedigings-werken,86
Meer,Meers,89
Meer,Mer,86
branderij,branderijen,90
Beeldhouwers,Beeldhouwer,96
Glasbouw,Vlasbouw,88
Gevel,Gevels,91
Amsterdam-West,Amsterdam-Oost,86
Amsterdam-West,Amsterdam-Oud-West,88
Opschrift,Opschriften,90
Theehuis,Teerhuis,88
basiliek,basilieken,89
Heerlijkheid,Heerlijkheden,88
Poortgebouw,Postgebouw,86
Metselteken,Metselaarsteken,85
Bodemkartering,Bodemkaarten,85
Doopvont,Doopvonten,89
Doopvont,doopvont,88
datering,Catering,88
Kamer,Kamers,91
Tram,Tam,86
Ambt,Abt,86
cultuurlandschap,cultuurlandschappen,91
pottenbakkerij,Pottenbakker,85
pottenbakkerij,pottenbakkersschijf,85
Postmodernisme,postmodernisme,93
Bouwtekening,Bouwrekening,92
Gietijzer,gietijzer,89
Draagconstructie,Dakconstructie,87
Draagconstructie,Draaiconstructie,94
Houtconstructie,Bouwconstructie,87
Houtconstructie,Houtconstructies,97
gasfabriek,glasfabriek,95
gasfabriek,Wasfabriek,90
gasfabriek,kaasfabriek,86
gasfabriek,gasfabrieken,91
gasfabriek,glasfabrieken,87
Kalksteen,kalksteen,89
grafsteen,grafteken,89
Warenhuizen,karnhuizen,86
Warenhuizen,armenhuizen,91
hofje,hofjes,91
Stijl,Steijl,91
Parochie,Parochies,94
Dorpsgezicht,Dorpsgezichten,92
Hoogveen,Hoogvenen,94
Leerindustrie,Verfindustrie,85
Leerindustrie,Likeurindustrie,86
Leerindustrie,Lederindustrie,96
klokkengieterij,Klokkengieter,86
jachtslot,jachtsloten,90
Gedenkteken,Gedenksteen,91
Gedenkteken,Gedenktekens,96
Gedenkteken,Gedenkstenen,87
Gedenkteken,gedenktekens,87
Gerechtsgebouw,gerechtsgebouwen,87
Marke,Mark,89
Marke,arke,89
zendmast,zendmasten,89
Stempelconstructie,Koepelconstructie,86
Stempelconstructie,Steenconstructie,88
Kerkinterieur,Kerkinterieurs,96
beeldhouwwerk,Bouwbeeldhouwwerk,87
beeldhouwwerk,beeldenhouwwerken,87
beeldhouwwerk,beeldhouwwerken,93
Kachel,Kachels,92
pleisterwerk,pleisterwerken,92
Schilderingen,Schilderijen,88
Schilderingen,Schilderen,87
droogmakerij,Droogmakerijen,85
Bouwhut,Bouwput,86
Zandsteen,zandsteen,89
Metriek stelsel,Metrieke stelsel,97
Muurschildering,Muurschilderingen,94
Financiering,Financien,86
magazijn,magazijnen,89
Pui,Puin,86
Vicaris,Vicarie,86
Meesterteken,meestertekens,88
Orgelmaker,Orgelmakerij,91
Orgelmaker,Orgelmakers,95
textielfabriek,textiefabrieken,90
Houten huizen,Houthuizen,87
minderbroederklooster,minderbroederkloosters,98
Toegangspoort,toegangspoorten,86
Architectuurtheorie,Architectuurtheorieën,95
schuurkerk,schuurkerken,91
Renaissance,renaissance,91
Universiteit,diversiteit,87
hogeschool,hogescholen,86
levensmiddelenfabriek,levensmiddelenfabrieken,95
Toponymies,Toponymie,95
armenhuis,Warenhuis,89
steenoven,Baksteenoven,86
steenoven,steenoren,89
lantaarnpaal,lantaarnpalen,88
lantaarnpaal,lantarenpaal,92
Kelder,Kelders,92
Kelder,Kwelders,86
fontein,fronten,86
dok,dook,86
dok,dolk,86
Orde,Orden,89
Zandweg,Landweg,86
Doelen,Dommelen,86
Muurhuis,Vuurhuis,88
State,Statie,91
State,States,91
pompstation,pompstations,96
Woonwijk,Woonwijken,89
Tabernakel,tabernakel,90
Loofhut,Loofhout,93
telegraafkantoor,telegraafkantoren,91
Huismerk,Huiswerk,88
Merk,Mer,86
Dominicanen,Dominicanessen,88
dierentuin,dierentuinen,91
Rijstpellerij,rijstpellerijen,86
tabaksschuur,tabaksschuren,88
tegelbakkerij,steenbakkerij,85
tegelbakkerij,Plateelbakkerij,86
tegelbakkerij,tegelbakkerijen,93
Majolica,majolica,88
sleutel,sleutels,93
Heer,Heers,89
Koopmanshuis,Coopmanshus,87
Trekschuit,Trekschuiten,91
wagenmakerij,wagenmakerijen,92
straatverlichting,straatverlichtingen,94
pannenfabriek,dakpannenfabriek,90
pannenfabriek,Linnenfabriek,85
Smeedijzer,smeedijzer,90
Inscriptie,Inscripties,95
Dominicanessen,Dominicanen,88
arbeiderswoning,Veenarbeiderswoning,88
arbeiderswoning,landarbeiderswoning,88
arbeiderswoning,arbeiderswoningen,94
monument,monumenten,89
alcoholfabriek,alcoholfabrieken,93
Biografie,Bibliografie,86
Biografie,Biogeografie,86
Biografie,Biografieën,90
Kapiteel,Kapittel,88
Telmerk,Telmerken,88
kleuterschool,kleuterscholen,89
Oliemolen,oliemolen,89
Paviljoen,paviljoen,89
Wandtapijt,Wandtapijten,91
Plafondschildering,Wandschildering,85
Plafondschildering,Plafondschilderingen,95
Beeldhouwkunst,Bouwbeeldhouwkunst,88
Bouwplaats,Bouwplaat,95
Bouworganisatie,organisatie,85
Epidemie,Epidemieen,89
parkeergarage,parkeergarages,96
Bejaardenhuis,bejaardentehuis,86
Vakwerk,Lakwerk,86
Vakwerk,Dakwerk,86
Plafond,Plafonds,93
Replica,Replica's,88
Industriële vormgeving,industrile vormgeving,93
Luchthaven,luchthavens,86
technische school,technische scholen,91
Bouwput,Bouwhut,86
Spoortunnel,Boortunnel,86
Gemeentebestuur,Gemeentelijk bestuur,86
Landschapstuin,Landschapshuis,86
Beuk,Breuk,89
Geluidswal,Geluidswand,86
Landschapsbehoud,Landschapsbouw,87
grenssteen,grenstekens,86
Kerkpad,Kerkepad,93
Marktplein,Marktpleinen,91
laan,slaan,89
Stoomhoutzagerij,Stoomzagerij,86
Verplaatsing,Verplaatsingen,92
Waterpomp,Waterpompen,90
gevellantaarn,gevellantaarns,96
Werfkelder,Waterkelder,86
Graniet,Granito,86
Graniet,Granieten,88
Graniet,Granuliet,88
Graniet,graniet,86
Stollingsgesteente,Stollingsgesteenten,97
Stollingsgesteente,stollingsgesteenten,92
waterschapshuis,waterschapshuizen,88
gemeenlandshuis,gemeenlandshuizen,88
Bedrijfsleven,Bedrijfsleer,88
vergaderzaal,vergaderzalen,88
motel,mortel,91
motel,motels,91
winkelcentrum,winkelcentra,88
machinefabriek,machinefabrieken,93
flatgebouw,flatgebouwen,91
grafveld,grafvelden,89
Kloosterkerk,kloosterkerken,85
kalkoven,kalkovens,94
kalkoven,klokoven,88
Kacheloven,Kachelovens,95
Aardbeving,Aardbevingen,91
sacristie,sacristieen,90
sacristie,sacristiebel,86
tempel,stempel,92
moskee,moskeeën,86
moskee,moskeeen,86
Tuinbouw,Tuingebouw,89
Gruithuis,Kruithuis,89
Abt,Ambt,86
Heemraadschap,Hoogheemraadschap,87
Hof,Hoef,86
moestuin,moestuinen,89
moestuin,(moes)tuin,89
Waterstaatskerk,Waterstaatswerk,93
Waterstaatskerk,Waterstaatskerken,94
Woolde,Woold,91
Diaconie,Diakonie,88
Diaconie,Diaconen,88
Statie,State,91
Drinkwatervoorziening,watervoorziening,86
haardsteen,hardsteen,95
haardsteen,haardstenen,95
Mijnbouw,Mijngebouw,89
Mijnbouw,Wijnbouw,88
Rosmolen,Rosmolens,94
Rosmolen,rosmolen,88
Kust,Kunst,89
natuurgebied,Natuurgebieden,85
Handmerk,Handwerk,88
Profiel,Profielen,88
Politie,Politiek,93
huiskerk,huiskerken,89
gashouder,gashouders,95
winkelpui,winkelpuien,90
Wapenbord,wapenbord,89
kraagsteen,kraagstenen,95
Mythologie,Myologie,89
donjon,donjons,92
tunnel,tunnels,92
Vakbond,Vakbonden,88
kaarsenfabriek,kaasfabriek,88
kaarsenfabriek,Garenfabriek,85
kaarsenfabriek,kaarsenfabrieken,93
Rouwbord,Rouwborden,89
Rouwbord,rouwbord,88
Timmerwerf,Timmerwerk,90
Historische stad,Historische musea,85
Vervuiling,Verzuiling,90
Vissershuis,Vissershut,86
sloot,slot,89
Kapittel,Kapiteel,88
Tiend,Tiende,91
vloerconstructie,vloerconstructies,97
Beplanting,Beplantingen,91
Stadskern,Stadskernen,90
Prehistorie,prehistorie,91
Stadsrecht,Stadsrechten,91
Stadsrecht,Stadsgracht,86
Stadsrecht,Staatsrecht,86
woonkazerne,woonkazernes,96
Lood,Loods,89
café-restaurant,café-restaurants,97
café-restaurant,Café-restaurant,93
Zeedijk,Reedijk,86
sierbestrating,sierbestratingen,93
parlementsgebouw,Departementsgebouw,88
parlementsgebouw,parlementsgebouwen,94
Buurschap,Buurtschap,95
Buurschap,Buurschappen,86
Gedenksteen,Gedenkteken,91
Gedenksteen,Gedenktekens,87
Gedenksteen,Gedenkstenen,96
Gedenksteen,gedenksteen,91
Vegetatiedak,Vegetatie,86
eendenkooi,eendekooien,86
Steengroeve,Steengroeven,96
hoogspanningsmast,hoogspanningsmasten,94
garage,garages,92
Steenhouwersmerk,Steenhouwers,86
tolhuis,dolhuis,86
Kerkenkruis,Kerkkruis,90
Straatnaambord,straatnaamborden,87
Huisnummer,Huisnummering,87
Brugconstructie,Bouwconstructie,87
Brugconstructie,Boogconstructie,87
Gemeentewapen,Gemeentewapens,96
Paalwoning,Paalwoningen,91
wolkenkrabber,wolkenkrabbers,96
tuchthuis,Luchthuis,89
elektriciteitscentrale,Electriciteitscentrale,91
elektriciteitscentrale,elektriciteitscentrales,98
melkwinkel,melkwinkels,95
beenderhuis,eendenhuis,86
Grafschrift,Grafschriften,92
zendstation,zendstations,96
Timmerfabriek,timmerfabrieken,86
Protestantse kerk,Protestantse kerken,94
Wandeling,Wandelingen,90
Acrylhars,Akrylhars,89
Windvaan,Windvang,88
Windvaan,windvaan,88
Perspectief,Porspectie,86
Koorbank,Koorbanken,89
Graansilo,graansilo,89
Karmelieten,Karmelietes,91
spijker,spieker,86
Handboek,Handboeken,89
gymnasium,gymnasiums,95
tabaksfabrieken,kaasfabrieken,86
Ministerie van VROM,Ministerie van WVC,86
Ministerie van VROM,Ministerie van VWS,86
Ministerie van VROM,Ministerie van LNV,86
Keramische industrie,Grafische industrie,87
Keramische industrie,Grofkeramische industrie,86
Keramische industrie,Chemische industrie,87
scheepslift,scheepsliften,92
Laken,aken,89
Kas,Kast,86
Kas,Kaas,86
Walhuis,Waltahuis,88
Walhuis,Washuis,86
Engel,Engels,91
Tekening,Rekening,88
Tekening,Tekeningen,89
azijnfabriek,azijnfabrieken,92
Kroonlijst,kroonlijst,90
Sigarenfabriek,Garenfabriek,85
Sigarenfabriek,Sigarettenfabriek,90
Sigarenfabriek,sigarenfabrieken,87
Beekdal,Beekdalen,88
Molenroede,molenroede,90
ijzergieterij,ijzergieterijen,93
Zoutziederij,zoutziederijen,85
Plattegrond,Plattegronden,92
spoorbrug,spoorbruggen,86
abdijkerk,abdijkerken,90
Verlichting,belichting,86
urinoir,urinoirs,93
Reparatie,Reparaties,95
Departementsgebouw,parlementsgebouw,88
Zoutindustrie,Houtindustrie,92
Zoutindustrie,Touwindustrie,85
Zoutindustrie,Bouwindustrie,85
Zoutindustrie,Botindustrie,88
grutterij,grutterijen,90
Zee,Zeep,86
Koorafsluiting,Koorsluiting,92
koetshuizen,koelhuizen,86
Lodewijk-XVI-stijl,Lodewijk-XIII-stijl,92
Lodewijk-XVI-stijl,Lodewijk-XIV-stijl,94
Lodewijk-XVI-stijl,Lodewijk-XV-stijl,97
Lodewijk-XVI-stijl,Lodewijk-stijl,88
Lodewijk-XVI-stijl,Lodewijk XIV-stijl,89
Lodewijk-XVI-stijl,Lodewijk XV-stijI,86
Lodewijk-XVI-stijl,Lodewijk XVI-stijl,94
Voetveeg,Voetveer,88
visbank,visbanken,88
Invloed,Invloeden,88
Hijswerktuig,Heiwerktuig,87
Hijswerktuig,Hijswerktuigen,92
's-Heerenhoek,'s-Heerenbroek,89
Speelhuis,Speelhuisje,90
Grot,Grout,89
wachtgebouw,wachtgebouwen,92
Kruithuis,Gruithuis,89
Tijdschrift,Tijdschriften,92
Tijdschrift,Tijdschift,95
aardewerkfabriek,aardewerkfabrieken,94
Havezathe,Havezate,94
Chemische-industrie,Chemische industrie,95
Papierfabriek,Papierfabricage,86
Papierfabriek,papierfabrieken,86
Keuken,Keukens,92
Dienstwoning,dienstwoningen,85
Schuttersgilde,Schuttersgilden,97
Spoordijk,Spoorwijk,89
glasfabriek,gasfabriek,95
glasfabriek,lakfabriek,86
glasfabriek,Wasfabriek,86
glasfabriek,gasfabrieken,87
glasfabriek,glasfabrieken,92
Golfbaan,Kolfbaan,88
Vlaamse schuur,Vlaamse schuren,90
Klokkengieter,klokkengieterij,86
Klokkengieter,Klokgieter,87
Klokkengieter,Klokkengieters,96
Ikonografie,Iconografie,91
Kruisbeeld,kruisbeeld,90
schouwburg,schouwburgen,91
ontginning,ontginningen,91
ontginning,ontginningsas,87
Sgraffito,Sgraffiti,89
Bestemmingsplan,Bestemmingsplannen,91
steenbakkerij,tegelbakkerij,85
tramstation,tramstations,96
rozet,roet,89
manege,maneges,92
Restauratie,Restaurateur,87
Restauratie,Restauratieplan,85
Restauratie,Restauraties,96
Retabel,Retabels,93
tuinbeeld,tuinbeelden,90
Scheur,Scheuren,86
Goudleer,goudleer,88
Meubel,Meubels,92
Meubel,Meubelen,86
Suikerindustrie,Likeurindustrie,87
haardplaat,haardplaatsen,87
Bedstede,Bedstee,93
Architectuurschilderkunst,Architectuurschildering,88
pilaster,pilasters,94
medaillon,medaillons,95
medaillon,medaillen,89
Ruilverkaveling,Ruilverkavelingen,94
fabrieksschoorsteen,fabrieksschoorstenen,97
Stadwijk,Stadswijk,94
Natuursteen,natuursteen,91
sacramentshuizen,sacramentshuisje,88
sacramentshuizen,sacramentshuis,87
Bouwkeramiek,Bouwceramiek,92
Standbeeld,Stadsbeeld,90
Standbeeld,Standbeelden,91
Standbeeld,standbeeld,90
Franken,Dranken,86
Friezen,friezen,86
Houtwal,Houtwol,86
Stucwerk,Stutwerk,88
Loods,Lood,89
Koepelschildering,Kolomschildering,85
verenigingsgebouw,verenigingsgebouwen,94
verenigingsgebouw,vakverenigingsgebouwen,87
Reformatie,Deformatie,90
Middellandse Zeegebied,Middellands zeegebied,93
Middellandse Zeegebied,Middellandse zee gebied,93
Tegelfabriek,Meelfabriek,87
aquaduct,aquaducten,89
Aken,Alken,89
Koepelkerk,Koepelkamer,86
kosterswoning,dokterswoning,85
kosterswoning,koetsierswoning,86
kosterswoning,kosterswoningen,93
binnenhuisarchitectuur,binnenhuisarchitecten,88
vuurtoren,muurtoren,89
gebint,gebinten,86
kalkbranderij,kalkbranderijen,93
Kethel,Ketel,91
Markt,Mark,89
stoomgemaal,stoomgemalen,87
stoommachine,stoommachines,96
Norbertinessen,Norbertijnen,85
Toponymie,Toponymies,95
Facade,Facades,92
Meubilair,meubilair,89
Kap,Kamp,86
Scheepsmodel,Scheepsmodellen,89
politiebureau,politiebureaus,96
nederzetting,nederzettingen,92
Grafkist,Grafkisten,89
Breeveld,Bareveld,88
Dakpanstempel,Dakpanstempels,96
voetgangersbrug,voetgangersbruggen,91
Griend,Grind,91
Bouwgereedschap,gereedschap,85
Staalindustrie,Metaalindustrie,90
landschapsecologie,landschapsarcheologie,87
Schoorsteenstuk,Schoorsteen,85
wegwijzer,wegwijzers,95
abri,abris,89
Stadsbrand,Stadsrand,95
Bestrijdingsmiddel,Bestrijdingsmiddelen,95
sportgebouw,sportgebouwen,92
theeschenkerij,theeschenkerijen,93
tabakswinkel,tabakswinkels,96
Merkteken,Merktekens,95
Vicarie,Vicaris,86
Houtverduurzaming,Houtverduurzamingmiddel,85
Huisnummering,Huisnummer,87
distilleerderij,distilleerderijen,94
erfbeplanting,Herbeplanting,92
erfbeplanting,wegbeplanting,85
Wandschildering,Plafondschildering,85
Wandschildering,Wandbeschildering,94
Wandschildering,Wapenschildering,90
Wapensteen,pensteen,89
Wapensteen,Wapenstenen,95
Bier,Biert,89
slangenmuur,Slangemuur,86
dorpscentrum,dorpscentra,87
kasteelpoort,kasteelpoorten,92
Voorde,Voordeur,86
Historisme,Historie,89
rolbasculebrug,basculebrug,88
rolbasculebrug,rolbasculebruggen,90
geschutstoren,geschuttorens,92
geschutstoren,geschutspoorten,86
convent,conventen,88
kapittelhuis,kapittelhuizen,85
Landschapshuis,Landschapstuin,86
Bohemen,Bloemen,86
heemparken,Themaparken,86
Architectuurtekening,Architectuurtekeningen,95
Verfindustrie,Leerindustrie,85
Verfindustrie,Turfindustrie,85
Glasindustrie,Gasindustrie,96
Glasindustrie,Vlasindustrie,92
bakspieker,bakspiekers,95
stadion,station,86
stadion,stadions,93
Sport,Spot,89
Rivierengebied,Riviergebieden,86
Historisch onderzoek,Bouwhistorisch onderzoek,86
Historisch onderzoek,tuinhistorisch onderzoek,86
douanekantoor,douanekantoren,89
telefooncentrale,telefooncentrales,97
huis van bewaring,huizen van bewaring,89
rijtuigenloods,rijtuigenloodsen,93
Beschermd dorpsgezicht,Beschermd gezicht,87
Beschermd dorpsgezicht,Beschermd stadsgezicht,86
Beschermd dorpsgezicht,beschermde dorpsgezichten,89
Instrument,Instrumenten,91
Houtindustrie,Zoutindustrie,92
Houtindustrie,Houtzaagindustrie,87
Houtindustrie,Touwindustrie,85
Houtindustrie,Bouwindustrie,85
Houtindustrie,Botindustrie,88
Paalwerk,maalwerk,88
Mijngebouw,Mijnbouw,89
Stenen huis,Stenen kruis,87
Kozijn,Kozijnen,86
Schuifraam,Schuiframen,86
Schuifraam,schuifraam,90
Stroomdallandschap,stroomdallandschappen,87
kweekschool,kweekscholen,87
Porselein,porselein,89
muziektent,muziektenten,91
cementfabriek,cementfabrieken,93
Schelpzandmolen,schelpzandmolens,90
Tuinornament,tuinornamenten,85
Sigarenindustrie,Sigarettenindustrie,91
